Global_RPS,Strategy,Average_Cost
20,Ours (SP1+SP2),0.009069119731568256
20,Ours w/o Sem,0.01493022246756495
20,Ours w/o SP2,0.026280632124001193
20,dLoRA,0.04191342464912296
20,S-LoRA,0.038354217921820165
21,Ours (SP1+SP2),0.011398592399595817
21,Ours w/o Sem,0.01754817097867984
21,Ours w/o SP2,0.027675041075688474
21,dLoRA,0.04388873505997491
21,S-LoRA,0.03939802205603171
22,Ours (SP1+SP2),0.013398728513185567
22,Ours w/o Sem,0.019064680349957917
22,Ours w/o SP2,0.029078892684298165
22,dLoRA,0.04444618247692948
22,S-LoRA,0.04042466750245974
23,Ours (SP1+SP2),0.01521725006183527
23,Ours w/o Sem,0.020742372818699256
23,Ours w/o SP2,0.030277784595970667
23,dLoRA,0.04579661613875598
23,S-LoRA,0.04163843397299719
24,Ours (SP1+SP2),0.017190992941640358
24,Ours w/o Sem,0.022971088329420568
24,Ours w/o SP2,0.031467768187192456
24,dLoRA,0.047074945222752955
24,S-LoRA,0.04238767778415772
25,Ours (SP1+SP2),0.018872750538438798
25,Ours w/o Sem,0.02452428742180871
25,Ours w/o SP2,0.03251144117131635
25,dLoRA,0.047738232944515464
25,S-LoRA,0.04315524692488654
26,Ours (SP1+SP2),0.020264508575440803
26,Ours w/o Sem,0.02570376299692416
26,Ours w/o SP2,0.03357589262121895
26,dLoRA,0.048788325429958854
26,S-LoRA,0.043821691517899664
27,Ours (SP1+SP2),0.0217793441250079
27,Ours w/o Sem,0.026883979644662662
27,Ours w/o SP2,0.034454155699571595
27,dLoRA,0.049034908599052705
27,S-LoRA,0.04485306175349842
28,Ours (SP1+SP2),0.023075070720828504
28,Ours w/o Sem,0.028122610502356697
28,Ours w/o SP2,0.03533904099007484
28,dLoRA,0.049919860961086866
28,S-LoRA,0.04552134735202299
29,Ours (SP1+SP2),0.024323126600011284
29,Ours w/o Sem,0.029329264971824403
29,Ours w/o SP2,0.036202620837472964
29,dLoRA,0.05080033138199451
29,S-LoRA,0.04622118790904487
30,Ours (SP1+SP2),0.025487831663044573
30,Ours w/o Sem,0.030275455814672413
30,Ours w/o SP2,0.0369607321280125
30,dLoRA,0.05136693897862362
30,S-LoRA,0.04672646728808168
31,Ours (SP1+SP2),0.026539475254827624
31,Ours w/o Sem,0.03125502296286326
31,Ours w/o SP2,0.037652862321883966
31,dLoRA,0.052106438134962504
31,S-LoRA,0.047322886038166555
32,Ours (SP1+SP2),0.02757781914873578
32,Ours w/o Sem,0.03210119401820358
32,Ours w/o SP2,0.03834932163542293
32,dLoRA,0.0524905430069738
32,S-LoRA,0.047780138707181646
33,Ours (SP1+SP2),0.028528539682612257
33,Ours w/o Sem,0.03294686794137696
33,Ours w/o SP2,0.03904879911352768
33,dLoRA,0.052609602317462145
33,S-LoRA,0.04831857157694929
34,Ours (SP1+SP2),0.029435718143237016
34,Ours w/o Sem,0.03385472991652501
34,Ours w/o SP2,0.03961352589129932
34,dLoRA,0.05324461840961626
34,S-LoRA,0.048917727530794444
35,Ours (SP1+SP2),0.030338245741569493
35,Ours w/o Sem,0.034570149551020786
35,Ours w/o SP2,0.040224252806526695
35,dLoRA,0.05389521069615382
35,S-LoRA,0.04933991037850941
36,Ours (SP1+SP2),0.031110626629079437
36,Ours w/o Sem,0.03530956530276715
36,Ours w/o SP2,0.040760121586935136
36,dLoRA,0.05428434967619954
36,S-LoRA,0.049723143520334474
37,Ours (SP1+SP2),0.03192900600030314
37,Ours w/o Sem,0.03577602102248681
37,Ours w/o SP2,0.04128560781830413
37,dLoRA,0.05463899624768999
37,S-LoRA,0.05001927386075513
38,Ours (SP1+SP2),0.03266094079663889
38,Ours w/o Sem,0.036920001746390214
38,Ours w/o SP2,0.04179165760557596
38,dLoRA,0.05503042836828857
38,S-LoRA,0.050491444284880796
39,Ours (SP1+SP2),0.03331108832407579
39,Ours w/o Sem,0.0369668618360145
39,Ours w/o SP2,0.042229206369743595
39,dLoRA,0.0556447081407659
39,S-LoRA,0.051114462371362475
